Course,Prerequesites
AOSC123,[]
AOSC200,"['MATH107', 'MATH110', 'MATH115']"
AOSC201,[]
AOSC375,['MATH120']
AOSC400,"['PHYS171', 'PHYS161', 'MATH141']"
AOSC420,"['MATH141', 'PHYS141']"
AOSC431,"['PHYS171', 'PHYS161', 'MATH141']"
AOSC440,"['PHYS171', 'PHYS161', 'AOSC401', 'GEOG301']"
AOSC470,"['AOSC431', 'AOSC432']"
AOSC493,[]
AOSC494,"['AOSC431', 'AOSC432']"
AOSC499,[]
AOSC600,['AOSC610']
AOSC610,['MATH462']
AOSC620,['MATH461']
AOSC642,"['PHYS171', 'PHYS161', 'AOSC401', 'GEOG301']"
AOSC652,"['PHYS141', 'MATH241']"
AOSC670,[]
AOSC680,[]
AOSC798,[]
AOSC898,[]
AOSC899,[]
ANSC101,[]
ANSC103,['ANSC101']
ANSC105,[]
ANSC201,"['ANSC101', 'ANSC103', 'BSCI170', 'BSCI171']"
ANSC210,"['ANSC204', 'ANSC205', 'ANSC201']"
ANSC232,"['ANSC101', 'ANSC103']"
ANSC242,"['ANSC101', 'ANSC103']"
ANSC246,"['ANSC101', 'ANSC103']"
ANSC252,"['BSCI105', 'BSCI170', 'BSCI171']"
ANSC255,"['ANSC101', 'ANSC103']"
ANSC260,"['ANSC101', 'ANSC103']"
ANSC270,"['ANSC101', 'ANSC103']"
ANSC314,"['ANSC101', 'ANSC103', 'CHEM231', 'PLSC275', 'AGST275']"
ANSC359,[]
ANSC371,[]
ANSC388,[]
ANSC389,[]
ANSC399,[]
ANSC436,[]
ANSC437,['ANSC327']
ANSC446,"['ANSC212', 'BSCI440']"
ANSC447,['ANSC446']
ANSC450,"['ANSC101', 'MATH120', 'MATH136', 'MATH140', 'BIOM301']"
ANSC454,"['CHEM131', 'ANSC101', 'BSCI170']"
ANSC455,"['ANSC101', 'ANSC103', 'BSCI106', 'BSCI160', 'BSCI161']"
ANSC460,"['ANSC212', 'BSCI201', 'BSCI440']"
ANSC624,[]
ANSC625,[]
ANSC660,[]
ANSC688I,[]
ANSC688O,[]
ANSC699,[]
ANSC799,[]
ANSC898,[]
ANSC899,[]
ASTR100,[]
ASTR101,[]
ASTR120,['MATH140']
ASTR230,"['MATH115', 'MATH113']"
ASTR288,[]
ASTR288B,[]
ASTR288I,[]
ASTR310,"['ASTR121', 'PHYS171', 'PHYS161']"
ASTR330,"['ASTR100', 'ASTR101']"
ASTR340,"['ASTR100', 'ASTR101']"
ASTR350,"['ASTR100', 'ASTR101']"
ASTR380,[]
ASTR399,[]
ASTR421,"['ASTR121', 'PHYS271', 'PHYS270', 'PHYS273']"
ASTR422,['ASTR320']
ASTR498,[]
ASTR601,[]
ASTR610,[]
ASTR622,[]
ASTR688B,[]
ASTR695,[]
ASTR699,[]
ASTR799,[]
ASTR898,[]
ASTR899,[]
BCHM461,"['CHEM271', 'CHEM272', 'CHEM276', 'CHEM277']"
